Concatenate,Category,Job Group,Grade,수준 정의,세부지표 키워드,세부지표 설명
Software EngineeringS&K6세부지표1,세부지표1,Software Engineering,S&K6,Global Innovator,1. 혁신적 비전 제시,"글로벌 최고 기술 전문가로서 조직 차원의 방향성을 제시하고, 중장기적 기술 혁신 비전을 제시하여 장기적인 성장을 도모한다."
Software EngineeringS&K6세부지표2,세부지표2,Software Engineering,S&K6,Global Innovator,2. 글로벌 프로젝트 리딩,"전사 전략에 대해 시스템적 조언을 경영진에게 제공하고, 글로벌 관점에서 비즈니스 목표와 연계된 혁신적 전략을 추진하며, 글로벌 혁신 프로젝트를 리딩한다."
Software EngineeringS&K6세부지표3,세부지표3,Software Engineering,S&K6,Global Innovator,3. Global Industry Leader,"조직 내 최신 기술 동향과 기술적 노하우를 파악하여 전체에 전파하고, 기술적 비전과 프로덕트 방향을 제시하여 업계를 선도하고 글로벌 성과를 극대화한다."
Software EngineeringS&K6세부지표4,세부지표4,Software Engineering,S&K6,Global Innovator,4. 글로벌 리더십,"Cutting Edge Industry Tech 동향을 파악하고 글로벌 비즈니스에 접목하여, 글로벌 시장에서 기술과 비즈니스의 혁신을 선도한다."
Software EngineeringS&K6세부지표5,세부지표5,Software Engineering,S&K6,Global Innovator,5. 글로벌 파트너 협력,"다양한 글로벌 파트너 및 산업 커뮤니티와 협력하여 기술 혁신을 주도하고, 시장 변화에 맞춰 조직의 비즈니스 가치를 강화한다."
Software EngineeringS&K5세부지표1,세부지표1,Software Engineering,S&K5,Innovation,1. 혁신적 설계,"장기적인 기술 혁신 소프트웨어 제품 전략을 수립하고, 새로운 소프트웨어 제품 아이디어를 통해 시장에서 차별화된 경쟁 우위를 확보한다."
Software EngineeringS&K5세부지표2,세부지표2,Software Engineering,S&K5,Innovation,2. 시장 변화 대응,"최신 기술과 개발 방법론을 이해하고 장점을 수용하여 시장 변화에 부응하는 차별화된 소프트웨어 제품을 설계하고, 기술 혁신을 주도한다."
Software EngineeringS&K5세부지표3,세부지표3,Software Engineering,S&K5,Innovation,3. 기술 및 비즈니스 융합,"조직 전반에 걸친 복합적인 기술적 문제와 사업적 과제를 통합적으로 분석하여, 기술과 비즈니스를 융합한 혁신적인 해결책을 제시한다."
Software EngineeringS&K5세부지표4,세부지표4,Software Engineering,S&K5,Innovation,4. 성과 지속성,"지속 가능한 성과 창출을 목표로 장기적인 혁신 전략을 실행하고, 조직의 경쟁력과 성과를 지속적으로 강화한다."
Software EngineeringS&K5세부지표5,세부지표5,Software Engineering,S&K5,Innovation,5. 미래 기술 적용,"시스템 간 복잡성을 고려한 최적화된 설계 방안을 도출하여 미래를 대비한 기술 솔루션을 제안하고, 기술적 우수성과 운영 효율성을 극대화한다."
