Level Matrix,,R&R 1,R&R 2,R&R 3,R&R 4,R&R 5,R&R 6,,,,,,,,,,,,,,,,,,
"▶ 세부지표별 Next Level의 역량을 
모두 갖춰야 승진 후보군 Pool-in
(상위레벨 세부지표 Moderate 이상)",,"[Ownership]
업무 수행에 필요한 기본 지식을 
바탕으로 일상적인 업무수행","[Collaboration]
적절한 논리와 근거자료를 통해 
구성원들과 협업하여 업무를 완수","[Driving Achievement]
구성원들을 리드하여
조직 단위의 지속적인 성과 달성","[Cross Functional 
Achievement]
팀 이상 단위 조직 또는
직군의 구성원들을 리드하여 
핵심성과를 창출","[Strategic Leadership 
Achievement]
전사 수준의 전략을 수립하고 
다각적 통찰력 발휘","[Visionary Pioneer]
그룹 전체 혹은 비즈니스 전반에 
영향력을 발휘하여
전사 차원의 위업을 달성",,,,,,,,,,,,,,,,,,
S&K 1,"[Basic Job knowledge]
기본적 업무지식 보유",L3,L3,L4,L4,L5,L6,,,,,,,,,,,,,,,,,,
S&K 2,"[Practical Experience]
실무 경험 기반
담당업무 완결",L3,L4,L4,L5,L6,L7/LM7,,,,,,,,,,,,,,,,,,
S&K 3,"[Build 360 Workflow]
프로젝트 전반을 리드하여 성과 창출",L4,L4,L5,L6,L7/LM7,L8/LM8,,,,,,,,,,,,,,,,,,
S&K 4,"[Providing solutions]
선도기술을 제시하고, 
최적의 솔루션을 도출하여 
핵심성과를 창출",L4,L5,L6,L7/LM7,L8/LM8,L9/LM9,,,,,,,,,,,,,,,,,,
S&K 5,"[Innovation]
혁신 솔루션을 설계, 
실행하여 미래지향적 기술성장 주도",L5,L6,L7/LM7,L8/LM8,L9/LM9,LM10,,,,,,,,,,,,,,,,,,
S&K 6,"[Global Innovator]
글로벌 최고 수준의 지식과 
폭넓은 경험 기반, 업계를 
선도하는 혁신창출",L6,L7/LM7,L8/LM8,L9/LM9,L10,L10/LM10,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Table,,,,Competency,,,,,,,,,,,,,,,,,,,,
Concatenate,Skill & Knowledge,Role & Responsibilities,Level,,Competency,Meanings,,,,,,,,,,,,,,,,,,,
S&K1R&R1,S&K1,R&R1,L3,,S&K1,"[Basic Job knowledge]
기본적 업무지식 보유",,,,,,,,,,,,,,,,,,,
S&K2R&R1,S&K2,R&R1,L3,,S&K2,"[Practical Experience]
실무 경험 기반
담당업무 완결",,,,,,,,,,,,,,,,,,,
S&K3R&R1,S&K3,R&R1,L4,,S&K3,"[Build 360 Workflow]
프로젝트 전반을 리드하여 성과 창출",,,,,,,,,,,,,,,,,,,
S&K4R&R1,S&K4,R&R1,L4,,S&K4,"[Providing solutions]
선도기술을 제시하고, 최적의 솔루션을 
도출하여 핵심성과를 창출",,,,,,,,,,,,,,,,,,,
S&K5R&R1,S&K5,R&R1,L5,,S&K5,"[Innovation]
혁신 솔루션을 설계, 
실행하여 미래지향적 기술성장 주도",,,,,,,,,,,,,,,,,,,
S&K6R&R1,S&K6,R&R1,L6,,S&K6,"[Global Innovator]
글로벌 최고 수준의 지식과 폭넓은 경험 기반,
업계를 선도하는 혁신창출",,,,,,,,,,,,,,,,,,,
S&K1R&R2,S&K1,R&R2,L3,,R&R1,"[Ownership]
업무 수행에 필요한 기본 지식을 
바탕으로 일상적인 업무수행",,,,,,,,,,,,,,,,,,,
S&K2R&R2,S&K2,R&R2,L4,,R&R2,"[Collaboration]
적절한 논리와 근거자료를 통해 
구성원들과 협업하여 업무를 완수",,,,,,,,,,,,,,,,,,,
S&K3R&R2,S&K3,R&R2,L4,,R&R3,"[Driving Achievement]
구성원들을 리드하여
조직 단위의 지속적인 성과 달성",,,,,,,,,,,,,,,,,,,
S&K4R&R2,S&K4,R&R2,L5,,R&R4,"[Cross Functional Achievement]
팀 이상 단위 조직 또는 직군의 구성원들을 
리드하여 핵심성과를 창출",,,,,,,,,,,,,,,,,,,
S&K5R&R2,S&K5,R&R2,L6,,R&R5,"[Strategic Leadership Achievement]
전사 수준의 전략을 수립하고 
다각적 통찰력 발휘",,,,,,,,,,,,,,,,,,,
S&K6R&R2,S&K6,R&R2,L7,,R&R6,"[Visionary Pioneer]
그룹 전체 혹은 비즈니스 전반에 영향력을 
발휘하여 전사 차원의 위업을 달성",,,,,,,,,,,,,,,,,,,
S&K1R&R3,S&K1,R&R3,L4,,,,,,,,,,,,,,,,,,,,,,
S&K2R&R3,S&K2,R&R3,L4,,,,,,,,,,,,,,,,,,,,,,
S&K3R&R3,S&K3,R&R3,L5,,,,,,,,,,,,,,,,,,,,,,
S&K4R&R3,S&K4,R&R3,L6,,,,,,,,,,,,,,,,,,,,,,
S&K5R&R3,S&K5,R&R3,L7,,Competency,,,,,,,,,,,,,,,,,,,,
S&K6R&R3,S&K6,R&R3,L8,,H,High,[High] 높은 수준을 지속 유지하며 해당 역량을 발휘하여 조직 및 구성원에게 긍정적인 영향을 미침,,,,,,,,,,,,,,,,,,
S&K1R&R4,S&K1,R&R4,L4,,M,Moderate,[Moderate] 대부분의 업무수행에서 해당 역량을 주도적으로 발휘함,,,,,,,,,,,,,,,,,,
S&K2R&R4,S&K2,R&R4,L5,,I,Initial,"[Initial] 상사의 지시에 의해서만 수동적으로 발현되거나, 주도적으로 발현되더라도 상사의 개입이 필요함",,,,,,,,,,,,,,,,,,
S&K3R&R4,S&K3,R&R4,L6,,,,,,,,,,,,,,,,,,,,,,
S&K4R&R4,S&K4,R&R4,L7,,,,,,,,,,,,,,,,,,,,,,
S&K5R&R4,S&K5,R&R4,L8,,,,,,,,,,,,,,,,,,,,,,
S&K6R&R4,S&K6,R&R4,L9,,,,,,,,,,,,,,,,,,,,,,
S&K1R&R5,S&K1,R&R5,L5,,,,,,,,,,,,,,,,,,,,,,
S&K2R&R5,S&K2,R&R5,L6,,,,,,,,,,,,,,,,,,,,,,
S&K3R&R5,S&K3,R&R5,L7,,,,,,,,,,,,,,,,,,,,,,
S&K4R&R5,S&K4,R&R5,L8,,,,,,,,,,,,,,,,,,,,,,
S&K5R&R5,S&K5,R&R5,L9,,,,,,,,,,,,,,,,,,,,,,
S&K6R&R5,S&K6,R&R5,L10,,,,,,,,,,,,,,,,,,,,,,
S&K1R&R6,S&K1,R&R6,L6,,,,,,,,,,,,,,,,,,,,,,
S&K2R&R6,S&K2,R&R6,L7,,,,,,,,,,,,,,,,,,,,,,
S&K3R&R6,S&K3,R&R6,L8,,,,,,,,,,,,,,,,,,,,,,
S&K4R&R6,S&K4,R&R6,L9,,,,,,,,,,,,,,,,,,,,,,
S&K5R&R6,S&K5,R&R6,L10,,,,,,,,,,,,,,,,,,,,,,
S&K6R&R6,S&K6,R&R6,L10,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
